formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
CeMg2,Ce-Mg,187,P-6m2,-17.855435,43.201,28.057,69.153,0.233,1.641,6,-0.0551735,24.185,3.101781,3.101781,17.116283,90,90,119.999963,142.6140858,4.394894011,23.7690143
CeMg2,Ce-Mg,194,P6_3/mmc,-35.585197,42.001,19.05,49.618,0.303,2.364,12,-0.04470075,26.11666667,6.302187,6.302187,10.617908,90,90,119.668166,366.4330367,3.42094587,30.53608639
CeMg2,Ce-Mg,194,P6_3/mmc,-17.919065,41.488,29.328,71.184,0.214,1.479,6,-0.0657785,24.43333333,3.111898,3.111898,17.187696,90,90,119.999989,144.1448075,4.348223168,24.02413459
CeMg2,Ce-Mg,63,Cmcm,-17.849263,40.768,24.549,61.333,0.249,1.69,6,-0.054144833,24.55166667,9.140626,9.140626,5.161061,90,90,160.476851,144.1057355,4.349402121,24.01762259
CeMg2,Ce-Mg,12,C2/m,-17.839916,39.821,19.218,49.214,0.296,2.894,6,-0.052587,25.115,6.818482,6.818482,7.435355,77.382298,77.382298,26.972214,152.7799071,4.102462188,25.46331784
CeMg2,Ce-Mg,12,C2/m,-17.939408,39.443,23.565,58.779,0.252,1.964,6,-0.069169,24.99666667,5.925391,5.925391,8.284256,76.315855,76.315855,32.114518,149.8677546,4.182179105,24.9779591
CeMg2,Ce-Mg,227,Fd-3m,-17.66489,39.141,10.402,28.606,0.378,4.526,6,-0.023416,26.32333333,6.098898,6.098898,6.098898,60,60,60,160.4128195,3.907255005,26.73546991
CeMg3,Ce-Mg,225,Fm-3m,-10.499122,42.753,29.382,71.648,0.221,1.581,4,-0.07760325,25.0125,5.214783,5.214784,5.214783,60.000007,60.000003,59.999995,100.2752799,3.527751787,25.06881998
CeMg3,Ce-Mg,187,P-6m2,-10.468546,36.208,16.446,42.789,0.303,2.481,4,-0.06995925,24.0275,3.119791,3.119791,11.134345,90,90,120.000074,93.85251682,3.769172207,23.4631292
CeMg5,Ce-Mg,187,P-6m2,-27.191034,37.082,36.809,82.956,0.127,1.042,6,-0.092297333,23.5325,3.15199,3.15199,16.1789,90,90,120.000709,139.2022158,3.121107659,23.2003693
Dy3Mg,Dy-Mg,123,P4/mmm,-15.234334,40.176,21.419,53.922,0.277,2.695,4,-0.07526275,29.485,3.562303,3.562303,9.302996,90,90,90,118.0550364,7.198949091,29.5137591
Dy5Mg24,Dy-Mg,217,I-43m,-60.138824,39.453,16.366,43.133,0.318,2.414,29,-0.11693969,24.58344828,9.710007,9.710007,9.710006,109.471321,109.471311,109.471316,704.7501182,3.288844627,24.30172822
DyMg,Dy-Mg,221,Pm-3m,-6.214156,41.339,24.14,60.314,0.257,2.12,2,-0.1426935,27.155,3.782879,3.782879,3.782879,90,90,90,54.13364935,5.730206703,27.06682467
DyMg2,Dy-Mg,194,P6_3/mmc,-31.018963,42.618,21.889,56.064,0.281,1.993,12,-0.13315325,25.85666667,6.023042,6.023043,9.794773,90,90,120.000024,307.7207432,4.556812111,25.64339527
DyMg2,Dy-Mg,227,Fd-3m,-15.51287,42.592,17.39,45.578,0.322,3.334,6,-0.133718,25.80666667,6.009533,6.009533,6.009533,60,60,60,153.4642526,4.568574068,25.57737543
DyMg2,Dy-Mg,191,P6/mmm,-7.73995,38.301,17.145,44.655,0.306,2.61,3,-0.128223,26,5.21229,5.21229,3.261734,90,90,120.000004,76.74254116,4.567954058,25.58084705
DyMg3,Dy-Mg,225,Fm-3m,-9.36287,41.807,30.512,73.48,0.207,1.542,4,-0.14526925,24.42,5.143501,5.1435,5.143501,59.999989,59.999991,59.999992,96.21910852,4.062766849,24.05477713
DyMg3,Dy-Mg,194,P6_3/mmc,-18.63673,40.638,13.62,36.731,0.349,3.264,8,-0.134143,25.005,6.666084,6.666082,5.153814,90,90,120.000011,198.3356485,3.941962097,24.79195606
