formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
LiMg,Li-Mg,8,Cm,-10.549436,25.4,13.545,34.345,0.275,2.313,6,-0.073434833,20.60333333,5.832647,5.832647,7.420963,73.762651,73.762651,31.306728,125.5300782,1.23998657,20.9216797
LiMg,Li-Mg,12,C2/m,-10.549459,25.398,13.55,34.354,0.275,2.313,6,-0.073438667,20.60333333,5.656821,5.656821,7.156593,71.958926,71.958926,34.338346,122.2041027,1.273734741,20.36735044
LiMg,Li-Mg,156,P3m1,-10.375612,25.089,6.888,18.568,0.377,7.344,6,-0.044464167,21.39833333,3.114748,3.114748,15.168828,90,90,119.999969,127.4467381,1.221338524,21.24112301
LiMg,Li-Mg,5,C2,-10.488522,25.07,10.084,25.068,0.331,1.402,6,-0.0632825,20.935,5.337326,5.337326,5.832424,64.008523,64.008523,60.952814,125.0703183,1.244544774,20.84505306
LiMg,Li-Mg,164,P-3m1,-6.888064,24.81,5.901,16.131,0.391,2.81,4,-0.0372115,21.4325,3.13622,3.13622,10.117225,90,90,120.000021,86.1796946,1.204116675,21.54492365
LiMg,Li-Mg,187,P-6m2,-10.323281,23.948,5.882,16.204,0.388,5.899,6,-0.035742333,21.60166667,3.135932,3.135932,15.198304,90,90,119.994988,129.4437415,1.202496229,21.57395692
LiMg,Li-Mg,51,Pmma,-6.972423,23.638,12.561,30.294,0.279,1.115,4,-0.05830125,20.9225,3.052391,5.025685,5.380485,90,90,90,82.53854259,1.25723576,20.63463565
LiMg2,Li-Mg,12,C2/m,-10.238068,30.531,37.298,79.503,0.066,0.841,6,-0.107637667,20.75,5.885792,5.885792,7.377049,75.29885,75.29885,31.578516,129.090173,1.429149927,21.51502883
LiMg2,Li-Mg,139,I4/mmm,-5.108257,30.5,28.806,65.673,0.141,1.135,3,-0.104045333,20.75,3.453835,5.7053,3.464917,72.19887,90,107.619044,61.63541711,1.496616881,20.54513904
LiMg2,Li-Mg,12,C2/m,-10.186664,30.218,35.196,76.037,0.081,0.892,6,-0.099070333,20.945,5.63523,5.63523,7.141238,71.662424,71.662424,35.465677,124.1936315,1.485496552,20.69893858
LiMg2,Li-Mg,63,Cmcm,-10.13851,29.849,24.185,56.807,0.183,1.511,6,-0.091044667,20.92333333,8.262477,8.262477,5.027622,90,90,158.122793,127.8932879,1.44252458,21.31554798
LiMg2,Li-Mg,63,Cmcm,-10.138343,29.848,24.185,56.806,0.183,1.511,6,-0.091016833,20.92333333,8.247798,8.247798,5.017376,90,90,158.047318,127.5966726,1.445877918,21.2661121
LiMg2,Li-Mg,8,Cm,-10.120118,29.757,29.647,66.699,0.126,1.084,6,-0.087979333,21.15,5.933601,5.933601,7.339676,74.991798,74.991798,31.053591,128.3947532,1.43689058,21.39912553
LiMg2,Li-Mg,189,P-62m,-10.070469,29.259,13.357,34.759,0.302,2.353,6,-0.0797045,21.61,5.414996,5.414996,5.046845,90,90,119.999986,128.1583371,1.439541239,21.35972285
LiMg2,Li-Mg,15,C2/c,-10.065581,29.025,17.468,43.571,0.25,1.874,6,-0.078889833,21.53333333,5.407581,5.407581,5.985075,62.246038,62.246038,59.921451,127.7098251,1.444596853,21.28497085
LiMg2,Li-Mg,63,Cmcm,-10.100192,28.748,22.856,54.201,0.186,1.283,6,-0.084658333,21.50166667,5.400661,5.400661,5.052332,90,90,120.353729,127.1619859,1.450820463,21.19366432
LiMg2,Li-Mg,187,P-6m2,-10.001572,28.392,11.453,25.593,0.35,1.123,6,-0.068221667,21.73666667,3.122475,3.122475,15.235435,90,90,120.000013,128.6421865,1.434126832,21.44036441
LiMg2,Li-Mg,63,Cmcm,-10.008598,28.071,17.254,42.687,0.247,2.067,6,-0.069392667,21.84333333,8.275121,8.275121,5.139652,90,90,158.323692,129.9975761,1.419174241,21.66626268
LiMg2,Li-Mg,164,P-3m1,-9.931996,27.931,16.257,40.781,0.257,1.928,6,-0.056625667,21.98166667,3.149946,3.149946,15.229897,90,90,120.000021,130.8680701,1.409734332,21.81134502
LiMg3,Li-Mg,225,Fm-3m,-26.220913,32.108,21.163,51.267,0.234,2.229,16,-0.083148812,21.619375,6.96737,6.967371,6.967371,90,90,90,338.2258114,1.568230493,21.13911321
LiMg3,Li-Mg,194,P6_3/mmc,-13.179537,31.462,28.214,65.162,0.155,1.128,8,-0.091783875,21.78,6.271042,6.271042,5.064947,90,90,120.000005,172.4983304,1.537452651,21.5622913
LiMg3,Li-Mg,139,I4/mmm,-6.56045,31.338,12.803,30.898,0.336,23.937,4,-0.08445425,21.6125,5.322688,5.322688,5.322688,129.436116,129.436116,74.309849,87.68360185,1.512301102,21.92090046
LiMg3,Li-Mg,221,Pm-3m,-6.535894,31.013,24.979,59.027,0.183,1.337,4,-0.07831525,21.86,4.411069,4.411069,4.411069,90,90,90,85.82850618,1.544987949,21.45712654
LiMg3,Li-Mg,25,Pmm2,-6.539522,30.8,26.922,62.524,0.162,1.195,4,-0.07922225,21.875,3.169856,5.049862,5.409729,90,90,90,86.59533157,1.531306657,21.64883289
LiMg3,Li-Mg,187,P-6m2,-6.512462,30.584,16.893,42.688,0.267,2.106,4,-0.07245725,21.95,3.146174,3.146174,10.1216,90,90,120.000341,86.76482381,1.5283153,21.69120595
LiMg3,Li-Mg,44,Imm2,-6.54564,30.334,14.17,36.715,0.299,2.455,4,-0.08075175,21.9075,5.956162,5.956162,5.956162,149.438637,125.490225,63.790849,86.60672262,1.53110525,21.65168066
LiMg5,Li-Mg,38,Amm2,-9.588816,32.84,22.322,54.491,0.224,1.66,6,-0.0855265,22.22833333,8.304608,8.304608,5.121133,90,90,158.144435,131.4801478,1.622471645,21.91335797
LiMg5,Li-Mg,8,Cm,-9.600253,32.724,22.875,55.606,0.217,1.551,6,-0.087432667,22.155,5.972303,5.972303,7.479109,75.972421,75.972421,30.604635,131.4561615,1.622767691,21.90936025
LiMg5,Li-Mg,189,P-62m,-9.60598,32.678,19.598,48.998,0.25,1.67,6,-0.088387167,22.23166667,5.472994,5.472994,5.069956,90,90,119.999996,131.5178736,1.622006241,21.9196456
LiMg5,Li-Mg,187,P-6m2,-9.531502,32.005,13.885,36.33,0.311,2.634,6,-0.075974167,22.24666667,3.172874,3.172874,15.118727,90,90,120.000178,131.8106814,1.618403072,21.9684469
LiMg7,Li-Mg,187,P-6m2,-12.668719,33.647,29.655,68.741,0.16,1.186,8,-0.09250475,22.42125,6.306181,6.306181,5.108738,90,90,119.99999,175.9451062,1.671212244,21.99313828
Lu5Mg24,Lu-Mg,217,I-43m,-59.145147,40.608,14.355,38.514,0.342,2.998,29,-0.091334908,24.0262069,9.629294,9.629312,9.629313,109.47128,109.471233,109.471226,687.3258736,3.522817103,23.70089219
LuMg,Lu-Mg,221,Pm-3m,-6.06497,47.623,30.548,74.864,0.238,2.054,2,-0.093214334,25.995,3.71551,3.71551,3.71551,90,90,90,51.29266344,6.451194356,25.64633172
LuMg3,Lu-Mg,221,Pm-3m,-9.085341,42.197,20.321,50.891,0.299,4.242,4,-0.088443917,24.4275,4.588197,4.588214,4.588197,90,90,90,96.58903144,4.261537141,24.14725786
LuMg3,Lu-Mg,225,Fm-3m,-9.095114,39.972,31.276,74.233,0.19,1.458,4,-0.090887167,23.975,5.108751,5.108751,5.108751,60,60,60,94.28207803,4.365811122,23.57051951
Mg13Al14,Al-Mg,229,Im-3m,-70.448323,50.435,12.106,31.58,0.396,69.302,27,-0.005758556,19.54037037,8.83114,8.83114,8.83114,109.471221,109.471221,109.471221,530.186181,2.172683582,19.63652522
Mg13Al16,Al-Mg,217,I-43m,-79.115485,52.559,18.722,50.2,0.341,2.906,29,-0.049311897,19.52896552,9.026933,9.026933,9.026933,109.471221,109.471221,109.471221,566.2376162,2.192603553,19.52543504
Mg13Ir3,Ir-Mg,167,R-3c,-100.462755,60.066,28.203,73.16,0.297,2.137,32,-0.329509969,19.815625,9.639325,9.639325,9.639325,111.913593,111.913598,111.913595,619.3514999,4.786373295,19.35473437
Mg149Cl,Cl-Mg,187,P-6m2,-226.850797,35.511,14.091,37.306,0.325,2.754,150,-0.094146952,22.98306667,15.913668,15.913698,15.613468,90,90,120.000062,3424.29479,1.773335055,22.82863194
Mg149Rh,Mg-Rh,187,P-6m2,-232.669113,36.256,17.146,44.412,0.296,2.255,150,-0.0861278,22.78053333,15.899986,15.899992,15.6607,90,90,120.000016,3428.746782,1.803699688,22.85831188
Mg15Sb,Mg-Sb,187,P-6m2,-27.21771,37.823,9.557,26.423,0.384,4.44,16,-0.100890281,23.01125,6.355007,6.355007,10.289028,90,90,120.000118,359.8624448,2.244130441,22.4914028
Mg16Al13,Al-Mg,160,R3m,-73.4947,51.027,29.341,73.846,0.259,1.817,29,-0.090297276,19.97517241,9.107304,9.107304,9.107303,109.722706,109.722706,109.722708,576.0191463,2.132222733,19.86272918
Mg16Al13,Al-Mg,8,Cm,-73.590348,50.751,28.684,72.4,0.262,1.828,29,-0.093595483,19.90862069,9.103367,9.103367,9.046381,71.140048,71.140048,110.565918,577.88788,2.125327699,19.92716827
Mg17Al12,Al-Mg,217,I-43m,-71.499076,50.625,39.724,94.451,0.189,1.312,29,-0.099751172,20.12344828,9.038245,9.038245,9.038245,109.471221,109.471221,109.471221,568.3690027,2.153102325,19.59893113
Mg21Zn25,Mg-Zn,167,R-3c,-129.659687,54.811,25.252,65.67,0.3,2.176,92,-0.152535141,17.67097826,15.042428,15.042429,15.042429,116.407475,116.407476,116.407476,1634.633199,4.359268415,17.76775217
Mg23Al30,Al-Mg,148,R-3,-148.225923,55.791,21.899,58.043,0.327,2.812,53,-0.085418434,19.28075472,10.329306,10.329306,10.329306,76.525361,76.525361,76.525364,1023.461995,2.220290764,19.31060367
Mg26Ag7,Ag-Mg,202,Fm-3,-124.298543,46.31,7.218,20.585,0.426,6.615,66,-0.176169364,20.95727273,12.521423,12.521423,12.521423,60,60,60,1388.181004,3.318270409,21.03304551
Mg29Ir4,Ir-Mg,216,F-43m,-256.148142,52.902,27.679,70.701,0.277,1.953,99,-0.266498485,20.42353535,14.060027,14.060027,14.060028,59.999998,59.999999,60,1965.366198,3.735422964,19.85218382
Mg2Ag,Ag-Mg,63,Cmcm,-12.410906,52.066,29.495,73.995,0.263,2.235,6,-0.2009825,19.65333333,7.26159,7.26159,4.708535,90,90,152.454192,114.8209574,4.525971043,19.13682623
Mg2Ag,Ag-Mg,12,C2/m,-12.507199,51.449,36.551,88.51,0.213,1.573,6,-0.217031333,19.735,3.238766,5.565583,7.348885,71.873686,90,106.915664,119.8488735,4.336096894,19.97481226
Mg2Ag,Ag-Mg,63,Cmcm,-12.493879,50.992,42.71,100.111,0.173,1.265,6,-0.214811333,19.845,5.625502,5.625502,4.836937,90,90,128.718136,119.4309889,4.351268738,19.90516482
Mg2As,As-Mg,71,Immm,-17.512325,45.617,22.879,58.806,0.285,1.992,6,-0.423094583,21.21833333,6.85569,6.85569,6.85569,147.52016,131.704308,59.411614,128.078463,3.203177848,21.3464105
Mg2As,As-Mg,63,Cmcm,-17.445349,32.778,16.481,42.342,0.285,2.042,6,-0.411931917,27.79333333,8.879389,8.879389,4.586183,90,90,152.491583,167.0112308,2.456470104,27.83520513
Mg2Au,Au-Mg,62,Pnma,-31.124913,58.114,25.908,67.66,0.306,2.33,12,-0.52943675,19.44,4.337625,6.198232,8.499671,90,90,90,228.5187886,7.137959889,19.04323238
Mg2Bi,Bi-Mg,155,R32,-14.126145,40.949,12.983,35.221,0.357,3.305,6,-0.104247718,25.83833333,6.318697,6.318697,6.318697,54.595301,54.595301,54.595295,155.9197939,5.486653254,25.98663232
Mg2Bi,Bi-Mg,189,P-62m,-13.973706,40.427,5.268,15.033,0.438,13.55,6,-0.078841218,26.11166667,5.787311,5.787311,5.423158,90,90,119.999988,157.3028448,5.438413057,26.21714079
Mg2Bi,Bi-Mg,12,C2/m,-14.269759,40.294,9.329,25.678,0.394,7.461,6,-0.128183385,25.93333333,6.213325,6.213325,8.313718,68.738863,68.738863,31.760176,156.4732514,5.467246557,26.07887523
Mg2Bi,Bi-Mg,12,C2/m,-14.01296,39.076,16.168,42.611,0.318,2.56,6,-0.085383552,26.23,6.710659,6.710659,7.540647,73.657979,73.657979,28.989436,157.4723518,5.432559016,26.24539197
Mg2Bi,Bi-Mg,38,Amm2,-28.538308,38.371,17.995,46.477,0.298,2.653,12,-0.128082552,26.07,5.28511,3.404985,17.360347,90,90,90,312.4120045,5.476600339,26.03433371
Mg2Bi,Bi-Mg,63,Cmcm,-13.943841,38.057,18.08,46.694,0.296,2.489,6,-0.073863718,26.44,8.075683,8.075683,5.595164,90,90,154.317029,158.143568,5.409501352,26.35726133
Mg2Bi,Bi-Mg,63,Cmcm,-14.112615,37.772,6.659,18.866,0.417,5.954,6,-0.101992718,25.91333333,8.410375,8.410375,5.724383,90,90,157.248802,156.5912534,5.46312662,26.09854223
Mg2Bi,Bi-Mg,12,C2/m,-14.380816,32.881,9.648,24.911,0.378,23.349,6,-0.146692885,26.80666667,6.287847,6.287847,7.996108,68.865498,68.865498,32.423714,157.1045208,5.445278343,26.1840868
Mg2C3,C-Mg,58,Pnnm,-59.743935,90.303,46.274,118.457,0.282,2.141,10,0.1187421,12.731,3.742188,5.291497,6.44793,90,90,90,127.6804692,2.201613365,12.76804692
Mg2Cd,Cd-Mg,12,C2/m,-8.030153,40.763,21.492,54.491,0.277,2.442,6,-0.160656167,22.005,6.02912,6.02912,7.373136,74.507136,74.507136,29.926349,128.496755,4.161687368,21.41612583
Mg2Cd,Cd-Mg,15,C2/c,-7.971054,40.418,21.837,55.501,0.271,1.927,6,-0.150806333,21.98,5.352514,5.352514,6.150438,62.04542,62.04542,59.466087,127.7559995,4.185817684,21.29266659
Mg2Cd,Cd-Mg,189,P-62m,-7.906048,40.407,12.884,34.857,0.356,3.754,6,-0.139972,22.045,5.426125,5.426123,5.034746,90,90,119.999997,128.3771154,4.165565805,21.3961859
Mg2Cd,Cd-Mg,63,Cmcm,-7.979998,40.347,16.414,43.028,0.322,3.37,6,-0.152297,22.08,8.120138,8.120138,4.993673,90,90,156.9883,128.7163774,4.154586488,21.45272956
Mg2Cd,Cd-Mg,12,C2/m,-7.909441,40.125,19.567,50.339,0.291,2.441,6,-0.1405375,22.23333333,6.127179,6.127179,7.305284,74.540408,74.540408,29.445114,129.6004346,4.126246365,21.60007243
Mg2Cd,Cd-Mg,38,Amm2,-7.920635,40.066,20.961,53.516,0.277,2.049,6,-0.142403167,22.14833333,8.255618,8.255618,4.961549,90,90,157.616322,128.7719791,4.152792603,21.46199651
Mg2Cd,Cd-Mg,8,Cm,-7.940795,39.881,15.19,40.337,0.331,3.113,6,-0.145763167,22.195,5.892634,5.892634,7.403324,76.593218,76.593218,31.144603,129.0459216,4.14397693,21.5076536
Mg2Cd,Cd-Mg,63,Cmcm,-7.840223,39.743,19.525,50.297,0.289,2.204,6,-0.129001167,22.34666667,8.139594,8.139594,5.125873,90,90,157.351082,130.7760076,4.089154668,21.79600127
Mg2Cd,Cd-Mg,155,R32,-7.901267,39.343,10.366,28.313,0.38,5.944,6,-0.139175167,22.16166667,5.959825,5.959825,5.959825,53.988596,53.988596,53.988613,128.6687891,4.156123066,21.44479818
Mg2Cu,Cu-Mg,70,Fddd,-28.387079,55.716,32.694,81.989,0.255,1.823,12,-0.188571583,18.21583333,5.17132,5.171319,9.463868,97.99124,97.991241,119.416978,211.9179859,3.515311243,17.65983215
Mg2Cu,Cu-Mg,140,I4/mcm,-14.158564,55.251,33.845,84.267,0.246,1.748,6,-0.182742333,18.25333333,5.214667,5.214667,5.214667,120.314828,104.250788,104.423216,106.1794502,3.508012506,17.69657503
Mg2Cu,Cu-Mg,72,Ibam,-14.164266,55.013,30.591,77.39,0.266,1.904,6,-0.183692667,18.26,5.289371,5.289371,5.289371,120.617075,107.099047,101.342745,110.4016998,3.373850582,18.4002833
Mg2Ga,Ga-Mg,190,P-62c,-37.975126,43.757,16.844,44.773,0.33,2.75,18,-0.184221639,20.325,7.648649,7.648648,6.983073,90,90,120.000038,353.7907143,3.332420464,19.65503968
Mg2Ga,Ga-Mg,12,C2/m,-12.455337,42.731,24.523,61.733,0.259,1.838,6,-0.150381917,20.54833333,5.869889,5.869889,7.634951,70.453896,70.453896,30.189776,124.091021,3.166974818,20.68183684
Mg2Ga,Ga-Mg,12,C2/m,-12.461814,42.529,17.809,46.578,0.318,3.173,6,-0.151461417,20.52833333,5.792833,5.792833,7.697454,70.937204,70.937204,30.272187,122.533104,3.207240541,20.422184
Mg2Ga,Ga-Mg,8,Cm,-12.342539,41.95,15.832,41.404,0.336,4.678,6,-0.13158225,21.005,5.920755,5.920755,7.205706,78.577393,78.577393,30.304384,124.7479016,3.150298593,20.79131693
Mg2Ga,Ga-Mg,63,Cmcm,-12.360591,41.919,40.581,88.955,0.146,0.725,6,-0.134590917,20.62166667,7.894486,7.894486,5.045348,90,90,157.672873,119.4542053,3.289906267,19.90903422
Mg2Ga,Ga-Mg,15,C2/c,-12.36247,41.774,27.78,68.193,0.228,1.584,6,-0.134904083,20.48833333,5.173694,5.173694,6.145588,60.88972,60.88972,60.78778,118.5628453,3.314639909,19.76047422
Mg2Ga,Ga-Mg,63,Cmcm,-12.192582,41.719,19.139,49.673,0.302,2.568,6,-0.106589417,20.95,7.989065,7.989065,5.322921,90,90,158.184733,126.2511853,3.112787717,21.04186421
Mg2Ga,Ga-Mg,12,C2/m,-12.313728,41.697,21.275,54.448,0.282,2.23,6,-0.126780417,20.81166667,5.978725,5.978725,6.884756,75.396091,75.396091,31.62124,124.5198995,3.156066944,20.75331659
Mg2Ga,Ga-Mg,155,R32,-12.23749,41.478,83.518,112.714,0.047,0.256,6,-0.114074083,20.70833333,5.746037,5.746037,5.746037,55.465213,55.465213,55.465202,120.023171,3.27431058,20.00386184
Mg2Ga,Ga-Mg,63,Cmcm,-12.394433,41.186,36.146,81.594,0.17,0.817,6,-0.14023125,20.385,8.129364,8.129364,4.976444,90,90,158.161666,122.3382593,3.212348622,20.38970989
Mg2Ga,Ga-Mg,38,Amm2,-12.227772,41.174,20.456,52.632,0.287,2.125,6,-0.112454417,20.72333333,7.984067,7.984067,4.760131,90,90,155.90432,123.8813123,3.172335936,20.64688538
Mg2Ga,Ga-Mg,63,Cmcm,-12.345822,40.762,12.811,34.777,0.358,2.988,6,-0.132129417,20.62333333,5.572825,5.572825,4.945901,90,90,125.957181,124.3338983,3.160788363,20.72231638
Mg2Ga5,Ga-Mg,139,I4/mmm,-36.800522,51.702,17.855,46.978,0.349,5.647,14,-0.132820464,19.38142857,7.019493,7.019493,7.012251,104.672789,104.672787,119.601749,259.5491863,5.082717769,18.5392276
Mg2Ge,Ge-Mg,194,P6_3/mmc,-15.822052,50.852,16.731,45.224,0.352,3.18,6,-0.219804167,19.675,4.73686,4.73686,6.098868,90,90,119.999999,118.5116252,3.39781623,19.75193754
Mg2Ge,Ge-Mg,225,Fm-3m,-8.350907,50.674,43.078,100.7,0.169,1.176,3,-0.366431167,21.98666667,4.503274,4.503275,4.503274,60.000012,60.000005,60.000006,64.57586864,3.117888556,21.52528955
Mg2Hg,Hg-Mg,62,Pnma,-15.315937,43.769,19.42,50.753,0.307,2.243,12,-0.282967583,21.60083333,4.632062,6.163078,8.764724,90,90,90,250.2132141,6.6152595,20.85110118
Mg2In,In-Mg,189,P-62m,-17.537899,39.398,10.633,28.887,0.378,6.326,9,-0.148413778,23.26222222,8.358928,8.35893,3.346842,90,90,120.000001,202.5196247,4.020033796,22.50218052
Mg2Ir3,Ir-Mg,12,C2/m,-156.490393,169.851,57.418,154.745,0.348,3.177,25,-0.40609852,16.5972,5.184343,8.521799,9.656212,96.649818,105.571814,90,407.9717078,12.72478333,16.31886831
Mg2Ni,Mg-Ni,140,I4/mcm,-18.038159,66.746,36.612,92.844,0.268,1.885,6,-0.2303135,17.03,5.099679,6.156888,5.100481,127.129584,62.381412,127.138541,100.5372625,3.544586024,16.75621041
Mg2Ni,Mg-Ni,180,P6_222,-54.157729,64.861,34.369,87.619,0.275,1.943,18,-0.232716389,17.16722222,5.151144,5.151144,13.071141,90,90,119.999998,300.3664834,3.559281694,16.68702686
Mg2Ni,Mg-Ni,9,Cc,-33.467186,53.699,23.349,61.164,0.31,2.422,12,-0.012885833,19.29666667,6.056503,6.075112,7.456594,113.27825,113.854544,90.1033,226.1889391,3.151020353,18.84907826
Mg2P,Mg-P,63,Cmcm,-19.025388,55.333,33.138,82.837,0.251,1.77,6,-0.418738357,18.915,5.679545,5.679545,5.57705,90,90,140.86545,113.5428646,2.327789533,18.92381077
Mg2P,Mg-P,71,Immm,-19.011691,52.396,25.288,65.25,0.293,2.339,6,-0.416455524,19.52333333,3.744399,6.634187,5.466361,65.911564,90,106.391845,117.8934267,2.241888281,19.64890445
Mg2Pb,Mg-Pb,62,Pnma,-26.827032,36.931,14.55,38.573,0.326,2.672,12,-0.148812,25.58083333,4.471251,7.652636,8.644763,90,90,90,295.796601,5.744251248,24.64971675
Mg2Pb,Mg-Pb,225,Fm-3m,-6.720563,36.725,22.481,56.015,0.246,1.635,3,-0.153413667,27.46333333,4.82822,4.82822,4.82822,60,60,59.999996,79.58774374,5.337285349,26.52924791
Mg2Pd,Mg-Pd,227,Fd-3m,-78.837259,69.05,30.31,79.323,0.309,2.3,24,-0.583817458,18.51041667,8.499976,8.499977,8.499977,59.999999,59.999997,60.000002,434.2483771,4.742601425,18.09368238
Mg2Pd,Mg-Pd,139,I4/mmm,-9.780738,62.634,32.509,82.977,0.28,2.213,3,-0.559177667,18.10333333,5.536399,5.536399,5.536399,145.971005,145.971005,48.889832,52.91078497,4.865423404,17.63692832
Mg2Pt,Mg-Pt,140,I4/mcm,-22.484437,72.416,40.618,102.585,0.264,1.926,6,-0.846820833,19.11666667,5.272423,5.272422,5.272423,106.579782,106.57978,115.423123,111.9033316,7.232374613,18.65055527
Mg2Rh,Mg-Rh,139,I4/mmm,-11.485721,63.037,42.092,103.281,0.228,1.53,3,-0.477680667,17.34,3.171901,3.171901,5.529591,106.667195,106.667177,89.999977,50.85102666,4.94773505,16.95034222
Mg2Ru,Mg-Ru,63,Cmcm,-23.666569,62.901,20.139,54.483,0.356,3.677,6,0.092520333,20.89,5.3772,5.3772,4.367576,90,90,102.470502,123.3059257,4.031428109,20.55098762
Mg2Sb,Mg-Sb,155,R32,-14.847542,44.295,15.485,41.593,0.344,3.048,6,-0.121653833,24.055,6.231791,6.231791,6.231791,53.62955,53.62955,53.629556,145.6313594,3.885235185,24.27189323
Mg2Sb,Mg-Sb,189,P-62m,-14.611759,44.094,3.162,9.235,0.465,22.421,6,-0.082356667,24.23166667,5.64632,5.64632,5.274101,90,90,119.999994,145.6163028,3.885636916,24.26938379
Mg2Sb,Mg-Sb,194,P6_3/mmc,-14.434926,43.82,13.039,35.52,0.365,3.96,6,-0.0528845,24.565,3.316256,3.316256,15.474705,90,90,120.000001,147.3835852,3.83904409,24.56393086
Mg2Sb,Mg-Sb,63,Cmcm,-14.923974,43.604,32.23,73.316,0.219,0.853,6,-0.1343925,24.085,5.438866,5.438866,5.434042,90,90,115.758477,144.7731495,3.908266715,24.12885825
Mg2Sb,Mg-Sb,15,C2/c,-15.202247,43.309,15.955,42.608,0.336,2.928,6,-0.180771333,23.665,5.535027,5.535027,6.920366,56.631995,56.631995,60.90364,142.652996,3.966352599,23.77549934
Mg2Sb,Mg-Sb,12,C2/m,-15.316546,43.307,11.45,31.153,0.38,6.524,6,-0.199821167,24.21333333,6.620475,6.620475,7.305618,73.619866,73.619866,28.297305,145.2332514,3.895885247,24.2055419
Mg2Sb,Mg-Sb,187,P-6m2,-14.372278,42.619,10.495,29.032,0.386,4.943,6,-0.042443167,24.595,3.313236,3.313236,15.560948,90,90,120.000008,147.9351904,3.824729463,24.65586507
Mg2Sb,Mg-Sb,12,C2/m,-15.113766,42.145,10.049,27.418,0.392,8.734,6,-0.1660245,24.37333333,5.929759,5.929759,7.807807,69.222733,69.222733,34.865666,145.6895362,3.883683731,24.28158937
Mg2Sb,Mg-Sb,71,Immm,-15.522776,40.543,22.918,57.853,0.262,1.774,6,-0.234192833,24.76333333,7.168211,7.168211,7.168211,147.305079,130.844803,60.292586,149.1472887,3.793646445,24.85788145
Mg2Sb,Mg-Sb,63,Cmcm,-14.750892,38.733,11.17,30.167,0.371,5.871,6,-0.1055455,24.94833333,7.910812,7.910812,5.407711,90,90,154.114525,147.7451344,3.829649509,24.62418907
Mg2Sb,Mg-Sb,38,Amm2,-14.982891,38.035,18.143,46.891,0.295,2.368,6,-0.144212,24.29666667,9.152739,9.152739,4.909574,90,90,159.235178,145.8151285,3.880338669,24.30252141
Mg2Sb,Mg-Sb,12,C2/m,-15.274611,36.45,8.98,24.801,0.386,3.268,6,-0.192832,24.705,6.151436,6.151436,7.508102,67.357376,67.357376,34.578568,147.5538743,3.834613522,24.59231238
Mg2Sc,Mg-Sc,63,Cmcm,-18.684702,43.571,23.982,60.741,0.268,1.977,6,-0.070662,23.33833333,8.397747,8.397747,5.161581,90,90,157.548395,139.0148936,2.235297934,23.16914893
Mg2Sc,Mg-Sc,12,C2/m,-18.628925,42.842,20.45,52.829,0.294,2.398,6,-0.061365833,23.52666667,6.128612,6.128612,7.660135,75.827307,75.827307,30.207584,140.0261775,2.219154374,23.33769625
Mg2Si,Mg-Si,62,Pnma,-34.959014,56.619,20.731,54.76,0.339,4.226,12,-0.185642833,19.7475,4.181316,6.994951,7.990033,90,90,90,233.693286,2.179880751,19.4744405
Mg2Si,Mg-Si,225,Fm-3m,-8.908272,54.752,45.395,106.697,0.175,1.206,3,-0.241815667,21.43,4.482799,4.482799,4.4828,60.000009,60.000008,60.000016,63.69904838,1.999337152,21.23301613
Mg2Si,Mg-Si,129,P4/nmm,-17.278852,53.996,81.128,145.668,0.048,0.399,6,-0.152200333,20.075,4.193237,4.193237,6.872002,90,90,90,120.8320367,2.107981915,20.13867278
Mg2Sn,Mg-Sn,194,P6_3/mmc,-14.434176,42.917,9.072,25.331,0.402,6.263,6,-0.255558833,23.20166667,5.058418,5.058418,6.273907,90,90,120.000006,139.0266914,3.996950426,23.17111523
Mg2Sn,Mg-Sn,15,C2/c,-14.367923,42.434,31.382,71.97,0.217,0.875,6,-0.244516667,23.50166667,5.617591,5.617591,6.1797,62.275748,62.275748,60.673781,143.2083769,3.880239446,23.86806282
Mg2Sn,Mg-Sn,12,C2/m,-14.271391,42.175,14.5,38.984,0.346,3.266,6,-0.228428,23.78833333,6.041849,6.041849,7.79145,72.544035,72.544035,31.842043,142.5660594,3.897721489,23.7610099
Mg2Sn,Mg-Sn,189,P-62m,-14.186583,41.915,22.202,56.602,0.275,1.954,6,-0.214293333,23.695,5.807559,5.807559,4.944537,90,90,120.000012,144.4253675,3.847542872,24.07089458
Mg2Sn,Mg-Sn,225,Fm-3m,-7.406274,41.9,28.107,68.911,0.226,1.501,3,-0.318620833,26.28333333,4.780259,4.780259,4.78026,59.99999,59.999991,59.999989,77.23947961,3.597142265,25.7464932
Mg2Sn,Mg-Sn,187,P-6m2,-13.923224,41.343,16.464,43.578,0.324,2.717,6,-0.170400167,24.255,3.308509,3.308509,15.260434,90,90,120.000018,144.6645265,3.841182124,24.11075442
Mg2Sn,Mg-Sn,63,Cmcm,-14.394548,41.324,28.55,67.581,0.227,1.006,6,-0.248954167,23.53666667,8.111051,8.111051,5.148778,90,90,155.302565,141.5318784,3.926202347,23.58864641
